

In GA, the initial population is a population of possible solutions that is initialized first. The produced population is refined by running the solutions through the crossover, mutation, and selection operations. After a predetermined number of iterations, the solution with the highest fitness value of a predefined objective function is deemed the optimal solution.
A binary encoding technique is used to represent each solution or chromosome in the population. The number of sensor nodes equals the size of the chromosomes. The sensor node number is determined by the index value of the chromosomal array, and the value of that index indicates whether the node is acting as a cluster head or not. If the value is represented by bit '1,' the associated sensor node is the cluster head for that solution; if the value is '0,' the corresponding sensor node is the member node.
As a result, because each generation is contained inside the iterations, no data set is required. However, we demonstrate how iteration works inside the clustr in this file.




Iteration	Fitness	CH		Iteration	Fitness	CH		Iteration	Fitness	CH		Iteration	Fitness	CH		Iteration	Fitness	CH		Iteration	Fitness	CH	Iteration	Fitness	CH		Iteration	Fitness	CH		Iteration	Fitness	CH		Iteration	Fitness	CH		Iteration	Fitness	CH		Iteration	Fitness	CH		Iteration	Fitness	CH		Iteration	Fitness	CH		Iteration	Fitness	CH		Iteration	Fitness	CH
1	706.57	23		1	206.17	43		1	906.07	3		1	403.89	87		1	250.51	7		1	442.1	60	1	906.07	3		1	740.2	77		1	706.57	25		1	406.57	40		1	140.65	80		1	740.2	77		1	140.65	40		1	740.2	77		1	442.1	60		1	820.65	43
2	706.57	59		2	199.52	42		2	220.92	48		2	223.96	52		2	211.40	30		2	220.93	57	2	220.9186203	48		2	146.0213512	52		2	142.5083022	21		2	153.4729849	34		2	125.04	79		2	155.9866964	71		2	139.5075425	23		2	122.20	29		2	153.2469555	51		2	812.2912943	43
3	708.05	19		3	189.69	59		3	202.12	23		3	198.40	42		3	224.20	42		3	225.61	52	3	202.1228586	23		3	124.1536585	56		3	127.8843307	39		3	122.8548563	28		3	132.54	80		3	160.9934642	70		3	146.0593404	54		3	150.25	29		3	148.6305235	51		3	817.2631476	51
4	728.22	97		4	221.84	52		4	207.95	24		4	204.05	49		4	214.89	62		4	212.39	26	4	207.9485833	24		4	132.9918461	32		4	140.4175241	25		4	142.5826148	37		4	155.57	22		4	142.0583618	84		4	129.3391816	22		4	141.71	22		4	146.3593939	60		4	824.7321636	22
5	728.22	44		5	208.81	60		5	203.29	53		5	210.64	24		5	224.67	25		5	220.87	38	5	203.28689	53		5	151.1775365	53		5	123.1680862	49		5	126.4178482	31		5	122.89	67		5	124.0739683	104		5	143.7998523	41		5	124.65	54		5	150.5061593	34		5	834.9885604	44
6	731.82	12		6	196.71	58		6	211.78	47		6	224.78	47		6	193.72	55		6	211.37	43	6	211.7810857	47		6	130.2454526	54		6	155.487262	42		6	147.413938	39		6	125.40	22		6	143.9854984	105		6	131.9294928	22		6	138.69	48		6	134.1111215	48		6	832.0413573	22
7	733.72	44		7	213.71	40		7	212.23	55		7	209.79	57		7	195.78	47		7	222.22	32	7	212.225461	55		7	136.7116931	57		7	129.2147915	41		7	135.4754981	57		7	147.99	63		7	121.1744078	100		7	145.9028905	45		7	146.45	52		7	133.0999459	40		7	834.0919344	39
8	738.85	14		8	200.15	58		8	226.55	99		8	194.38	48		8	191.32	38		8	226.12	42	8	226.553822	99		8	152.2835144	48		8	155.1859786	22		8	136.9229479	33		8	142.59	95		8	133.4501788	92		8	159.3103191	34		8	140.94	28		8	157.7170901	42		8	837.7601607	44
9	751.95	12		9	202.22	47		9	221.71	37		9	206.63	63		9	196.79	43		9	199.46	60	9	221.7133378	37		9	151.6325504	52		9	126.1359533	58		9	145.9160563	34		9	132.33	64		9	157.9371547	100		9	128.54416	48		9	122.40	33		9	159.7487044	21		9	834.4293094	39
10	766.51	13		10	187.23	24		10	195.11	43		10	215.58	50		10	223.40	61		10	214.99	35	10	195.1060384	43		10	155.326628	35		10	143.8411807	44		10	158.428053	32		10	148.97	62		10	137.5830496	109		10	159.0781314	45		10	122.92	34		10	124.7414209	29		10	837.9050153	37
11	766.51	12		11	191.49	53		11	222.95	46		11	217.09	42		11	214.67	29		11	187.36	39	11	222.9528583	46		11	156.3891875	25		11	130.9458569	42		11	155.9396437	52		11	135.59	76		11	122.2971187	80		11	123.2161416	20		11	142.51	29		11	158.8841409	49		11	826.8371865	47
12	775.63	12		12	216.70	50		12	192.20	63		12	218.98	53		12	187.80	31		12	209.30	34	12	192.2001573	63		12	137.5335316	34		12	131.4732193	58		12	137.6189441	45		12	153.59	91		12	152.1940697	105		12	124.2757782	32		12	159.13	54		12	155.7671587	38		12	811.8741802	43
13	775.63	84		13	226.44	37		13	204.27	36		13	227.01	41		13	221.43	28		13	192.67	47	13	204.2661395	36		13	134.4058344	47		13	124.4821599	49		13	160.275227	31		13	156.97	65		13	157.9417538	96		13	122.9028872	25		13	126.91	20		13	152.9873673	24		13	816.5915785	27
14	788.37	9		14	208.73	43		14	205.24	26		14	217.99	61		14	208.84	60		14	179.56	56	14	205.2428397	26		14	145.3106386	65		14	125.3984654	51		14	159.3715831	17		14	160.75	68		14	154.0472956	91		14	134.9836871	28		14	137.90	46		14	146.1654162	41		14	816.9375806	32
15	790.79	84		15	208.59	42		15	200.00	32		15	231.48	61		15	206.58	70		15	198.37	49	15	200.0009112	32		15	145.5496462	46		15	118.3972778	49		15	150.2619102	33		15	145.81	67		15	152.026772	81		15	115.6948623	27		15	137.45	42		15	144.7780531	41		15	807.2063432	26
16	790.79	9		16	213.42	38		16	208.04	27		16	219.00	71		16	213.26	54		16	182.10	54	16	208.0409783	27		16	146.7906923	54		16	136.0861922	58		16	146.3479586	17		16	152.68	70		16	156.1512941	82		16	129.8515503	27		16	126.28	45		16	138.0845875	38		16	819.2673122	21
17	796.87	7		17	213.53	28		17	205.60	31		17	227.92	56		17	213.75	66		17	179.31	63	17	205.5951699	31		17	141.0956182	46		17	132.888619	48		17	148.2129948	21		17	158.01	62		17	169.7722522	96		17	131.2162187	28		17	126.68	53		17	144.8285855	51		17	820.8915599	18
18	796.87	98		18	222.86	43		18	199.70	32		18	227.52	60		18	209.26	53		18	198.47	56	18	199.7047966	32		18	140.4484754	47		18	131.5603203	49		18	160.3992491	37		18	154.77	65		18	168.4297722	90		18	133.7915202	28		18	141.13	45		18	138.2577653	46		18	807.2000244	20
19	801.84	66		19	221.25	47		19	206.76	32		19	227.26	51		19	211.73	71		19	196.53	51	19	206.7602688	32		19	140.2728424	47		19	131.7329641	58		19	150.7670038	30		19	158.05	73		19	163.333762	97		19	123.9716354	20		19	134.80	54		19	138.4594315	48		19	806.5961516	21
20	801.84	40		20	222.27	46		20	209.34	28		20	217.04	57		20	217.76	63		20	196.44	56	20	209.3406413	28		20	144.6368934	53		20	137.2414631	52		20	142.8096946	33		20	155.29	56		20	160.6908699	77		20	126.8261758	34		20	138.44	53		20	134.8245979	47		20	811.7148124	37
21	801.84	7		21	218.08	39		21	206.43	20		21	236.86	52		21	206.38	63		21	184.51	46	21	206.4338935	20		21	141.1304418	58		21	129.3845591	49		21	156.357411	19		21	156.41	71		21	155.6832887	95		21	125.5902199	23		21	128.17	54		21	147.8885456	35		21	816.4623266	35
22	802.22	12		22	226.64	37		22	205.22	32		22	227.43	63		22	207.74	70		22	192.89	46	22	205.224306	32		22	141.618944	54		22	130.0146776	64		22	155.2175062	37		22	153.95	65		22	158.3841809	87		22	122.6029805	34		22	127.73	44		22	155.9178045	38		22	814.7513057	17
23	802.22	10		23	222.47	32		23	209.67	36		23	228.36	53		23	205.12	67		23	189.44	55	23	209.6744571	36		23	146.0185662	58		23	123.445974	57		23	159.0869771	35		23	153.71	65		23	157.8181115	90		23	124.4032977	30		23	133.27	42		23	149.241562	42		23	809.5298999	37
24	802.22	9		24	226.46	30		24	206.65	36		24	235.61	71		24	209.71	69		24	193.06	60	24	206.6456574	36		24	148.1739392	65		24	124.1496568	47		24	160.7363214	27		24	160.81	58		24	161.1471049	89		24	123.6631276	22		24	125.58	39		24	149.2623886	49		24	809.6311463	24
25	802.22	9		25	221.24	37		25	206.96	24		25	234.60	52		25	206.67	68		25	188.83	48	25	206.9566437	24		25	147.8037897	60		25	125.9164389	62		25	163.2739547	35		25	156.48	73		25	158.9281442	92		25	122.3583764	17		25	133.71	40		25	153.4789846	48		25	810.9391597	32
26	802.22	16		26	224.65	33		26	212.67	39		26	234.75	52		26	211.62	66		26	192.05	61	26	212.6710822	39		26	149.9031622	66		26	127.9354956	50		26	162.701984	28		26	154.12	73		26	162.5816834	96		26	125.3743821	19		26	130.50	47		26	152.8598481	37		26	807.6438229	34
27	802.22	9		27	218.35	39		27	208.21	38		27	234.97	53		27	209.37	69		27	192.18	63	27	208.2063721	38		27	148.4107359	62		27	126.2120459	50		27	158.3182055	22		27	155.42	73		27	155.4761428	93		27	125.0029582	19		27	131.97	52		27	152.5709886	32		27	813.8576724	36
28	802.22	9		28	225.22	40		28	212.03	36		28	229.48	49		28	208.36	72		28	191.00	57	28	212.0260475	36		28	143.2976758	61		28	130.7240121	57		28	156.9650527	23		28	160.88	69		28	159.973117	97		28	122.7781795	16		28	132.65	51		28	148.2478685	36		28	809.7979597	33
29	802.22	9		29	218.04	37		29	212.73	39		29	231.67	48		29	207.85	68		29	185.80	65	29	212.7348448	39		29	149.7228759	62		29	122.7712039	54		29	156.349082	24		29	151.84	76		29	155.9519628	92		29	128.6492408	13		29	126.75	46		29	146.0375174	31		29	811.1387001	32
30	802.22	7		30	219.76	34		30	211.10	34		30	230.82	51		30	210.81	68		30	187.79	65	30	211.102968	34		30	146.6103481	62		30	127.6486684	50		30	157.2655963	24		30	151.90	73		30	160.8901058	90		30	128.6466037	19		30	132.88	52		30	146.4271335	33		30	812.7458466	34
31	802.22	9		31	218.03	33		31	212.38	39		31	231.45	50		31	209.45	68		31	186.73	58	31	212.3805494	39		31	146.090218	58		31	127.4869367	50		31	156.5442824	30		31	151.17	74		31	159.4256742	96		31	129.422917	15		31	133.90	47		31	147.6289377	34		31	812.1280666	32
32	802.22	9		32	219.52	36		32	212.47	39		32	230.43	53		32	210.40	69		32	186.65	64	32	212.471517	39		32	147.0289063	64		32	127.434818	50		32	157.3488343	24		32	151.11	75		32	159.0835585	92		32	128.799812	17		32	132.55	49		32	146.9439947	35		32	812.902439	30
33	802.22	22		33	219.71	35		33	211.64	38		33	231.78	48		33	210.33	65		33	186.10	64	33	211.6394595	38		33	146.873655	65		33	127.8927496	50		33	157.0159292	30		33	152.69	74		33	159.524773	96		33	128.4289508	20		33	132.18	53		33	147.1605549	31		33	812.0561311	36
34	802.22	9		34	219.05	35		34	212.46	34		34	231.69	55		34	209.34	66		34	186.33	65	34	212.461644	34		34	146.0438688	63		34	127.2557658	57		34	157.2009556	27		34	152.23	76		34	159.3189444	90		34	128.0819084	14		34	132.52	50		34	146.6011564	31		34	812.4564778	30
35	802.22	9		35	218.86	38		35	212.25	40		35	230.70	51		35	210.43	67		35	187.84	61	35	212.2505175	40		35	146.6637689	62		35	127.5760924	58		35	156.0024934	26		35	152.41	72		35	159.9449931	95		35	128.825828	13		35	132.34	46		35	146.6357816	32		35	811.8618301	35
36	802.22	9		36	218.23	41		36	212.46	40		36	230.44	51		36	210.88	67		36	186.72	64	36	212.4647745	40		36	146.3914694	59		36	127.5956143	55		36	157.8942351	25		36	152.94	70		36	160.5948501	93		36	129.7940486	19		36	133.11	48		36	147.2149481	29		36	811.2625697	28
37	802.22	9		37	218.23	33		37	212.46	33		37	230.44	53		37	210.88	67		37	186.72	58	37	212.4647745	33		37	146.3914694	58		37	127.5956143	52		37	157.8942351	27		37	152.94	76		37	160.5948501	90		37	129.7940486	21		37	133.11	47		37	147.2149481	33		37	811.2625697	36
38	802.22	9		38	218.23	36		38	212.46	33		38	230.44	49		38	210.88	68		38	186.72	62	38	212.4647745	33		38	146.3914694	66		38	127.5956143	51		38	157.8942351	30		38	152.94	71		38	160.5948501	91		38	129.7940486	15		38	133.11	51		38	147.2149481	33		38	811.2625697	36
