																																									node	1.00	2.00	3.00	4.00	5.00	6.00	7.00	8.00	9.00	10.00
rounds	Sending node	Cluster Head	Possible paths		EAX	# hops	modified quality	best path		link 1	link 2	link 3	link 4	link 5	link 6	link 7	link 8		link 1 prob.	link 2 prob.	link 3 prob.	link 4 prob.	link 5 prob.	link 6 prob.	link 7 prob.	link 8 prob.			link	link 1	link 2	link 3	link 4	link 5	link 6	link 7	link 8			Round 1	E0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
1	6	1	65421		2.16	4	1.7258	6531		65	54	42	21	1	0	0	0		0.27	0.95	0.71	0.23	0.00	0.00	0.00	0.00			shortsest path	65.00	53.00	31.00	1.00	0.00	0.00	0.00	0.00				d	3.20	1.00	3.20	1.00	2.20	1.04	1.00	1.00	1.00	1.00
			6531		1.21	3	0.7242	6531		65	53	31	1	0	0	0	0		0.27	0.45	0.49	0.00	0.00	0.00	0.00	0.00			path 1 lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00				Energies	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
			658931		2.88	5	2.8824	6531		65	58	89	93	31	1	0	0		0.27	0.51	0.93	0.69	0.49	0.00	0.00	0.00			path 2  lengths	1.04	2.20	3.20	0.00	0.00	0.00	0.00	0.00														
																													path 5  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
	3	1	31		0.49	1	0.0814	31		31	1	0	0	0	0	0	0		0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00			shortsest path	31.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00				d	3.20	1.00	3.20	1.00	1.00	1.00	1.00	1.00	1.00	1.00
			35421		2.34	4	1.5592	31		35	54	42	21	1	0	0	0		0.45	0.95	0.71	0.23	0.00	0.00	0.00	0.00			path 1 lengths	3.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00				Energies	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
			3985421		4.01	6	4.0143	31		39	98	85	54	42	21	1	0		0.69	0.93	0.51	0.95	0.71	0.23	0.00	0.00			path 2  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
																													path 3  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
2	6	4	654		1.24	m	0.3539	654		65	54	4	0	0	0	0	0		0.25	0.99	0.00	0.00	0.00	0.00	0.00	0.00			shortsest path	65.00	54.00	4.00	0.00	0.00	0.00	0.00	0.00			Round 2	d	1.00	1.00	1.00	1.39	1.39	1.04	1.00	1.00	1.00	1.00
			653124		1.92	5	1.3703	654		65	53	31	12	24	4	0	0		0.25	0.42	0.05	0.83	0.38	0.00	0.00	0.00			path 1 lengths	1.04	1.39	0.00	0.00	0.00	0.00	0.00	0.00				Energies	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
			65893124		3.75	7	3.7469	654		65	58	89	93	31	12	24	4		0.25	0.50	0.79	0.95	0.05	0.83	0.38	0.00			path 2  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
			4		1.00																								path 3  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
	5	4	54		0.99	1	0.1652	54		54	4	0	0	0	0	0	0		0.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00			shortsest path	54.00	4.00	0.00	0.00	0.00	0.00	0.00	0.00				d	1.00	1.00	1.00	1.39	1.39	1.00	1.00	1.00	1.00	1.00
			53124		1.67	4	1.1141	54		53	31	12	24	4	0	0	0		0.42	0.05	0.83	0.38	0.00	0.00	0.00	0.00			path 1 lengths	1.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00				Energies	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
			5893124		3.50	6	3.4996	54		58	89	93	31	12	24	4	0		0.50	0.79	0.95	0.05	0.83	0.38	0.00	0.00			path 2  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
			5		8.00																								path 4  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
3	5	1	531		0.24	2	0.1193	531		53	31	1	0	0	0	0	0		0.04	0.20	0.00	0.00	0.00	0.00	0.00	0.00			shortsest path	53.00	31.00	1.00	0.00	0.00	0.00	0.00	0.00			Round 3	d	3.20	1.00	3.20	1.00	2.20	1.00	1.00	1.00	1.00	1.00
			5421		1.59	3	1.1955	531		54	42	21	1	0	0	0	0		0.82	0.08	0.70	0.00	0.00	0.00	0.00	0.00			path 1 lengths	2.20	3.20	0.00	0.00	0.00	0.00	0.00	0.00				Energies	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
			58931		1.09	4	1.0867	531		58	89	93	31	1	0	0	0		0.38	0.34	0.16	0.20	0.00	0.00	0.00	0.00			path 2  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
			1		2.00																								path 3  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
	8	1	8931		0.70	3	0.5272	8531		89	93	31	1	0	0	0	0		0.34	0.16	0.20	0.00	0.00	0.00	0.00	0.00			shortsest path	85.00	53.00	31.00	1.00	0.00	0.00	0.00	0.00				d	3.20	1.00	3.20	1.00	2.20	1.00	1.00	0.50	1.00	1.00
			8531		0.62	3	0.4668	8531		85	53	31	1	0	0	0	0		0.38	0.04	0.20	0.00	0.00	0.00	0.00	0.00			path 1 lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00				Energies	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
			85421		1.98	4	1.9778	8531		85	54	42	21	1	0	0	0		0.38	0.82	0.08	0.70	0.00	0.00	0.00	0.00			path 2  lengths	0.50	2.20	3.20	0.00	0.00	0.00	0.00	0.00														
			1		8.00																								path 3  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
4	7	8	758		1.40	2	0.3988	758		75	58	8	0	0	0	0	0		1.00	0.40	0.00	0.00	0.00	0.00	0.00	0.00			shortsest path	75.00	58.00	8.00	0.00	0.00	0.00	0.00	0.00			Round 4	d	1.00	1.00	1.00	1.00	0.50	1.00	1.06	0.50	1.00	1.00
			75398		2.53	4	1.4438	758		75	53	39	98	8	0	0	0		1.00	0.99	0.48	0.06	0.00	0.00	0.00	0.00			path 1 lengths	1.06	0.50	0.00	0.00	0.00	0.00	0.00	0.00				Energies	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
			75421398		4.74	7	4.7424	758		75	54	42	21	13	39	98	8		1.00	0.66	0.88	0.73	0.94	0.48	0.06	0.00			path 2  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
			8		9.00																								path 3  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
	3	8	398		0.54	2	0.2156	398		39	98	8	0	0	0	0	0		0.48	0.06	0.00	0.00	0.00	0.00	0.00	0.00			shortsest path	39.00	98.00	8.00	0.00	0.00	0.00	0.00	0.00				d	1.00	1.00	4.14	1.00	1.00	1.00	1.00	2.63	2.63	1.00
			358		1.38	2	0.5538	398		35	58	8	0	0	0	0	0		0.99	0.40	0.00	0.00	0.00	0.00	0.00	0.00			path 1 lengths	4.14	2.63	0.00	0.00	0.00	0.00	0.00	0.00				Energies	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
			312458		3.60	5	3.6002	398		31	12	24	45	58	8	0	0		0.94	0.73	0.88	0.66	0.40	0.00	0.00	0.00			path 2  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
			3		8.00																								path 3  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
5	7	8	758		1.62	2	0.4621	758		75	58	8	0	0	0	0	0		0.97	0.65	0.00	0.00	0.00	0.00	0.00	0.00			shortsest path	75.00	58.00	8.00	0.00	0.00	0.00	0.00	0.00			Round 5	d	1.00	1.00	1.00	1.00	0.50	1.00	1.06	0.50	1.00	1.00
			75398		2.71	4	1.5496	758		75	53	39	98	8	0	0	0		0.97	0.35	0.96	0.44	0.00	0.00	0.00	0.00			path 1 lengths	1.06	0.50	0.00	0.00	0.00	0.00	0.00	0.00				Energies	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
			75421398		5.12	7	5.1162	758		75	54	42	21	13	39	98	8		0.97	0.66	0.60	0.93	0.56	0.96	0.44	0.00			path 2  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
			7		8.00																								path 3  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
	6	8	658		1.53	2	0.4376	658		65	58	8	0	0	0	0	0		0.88	0.65	0.00	0.00	0.00	0.00	0.00	0.00			shortsest path	65.00	58.00	8.00	0.00	0.00	0.00	0.00	0.00				d	1.00	1.00	1.00	1.00	0.50	1.04	1.00	0.50	1.00	1.00
